"","x"
"139","Make new friends, complete my degree course"
"140","a good place for studying and making friends, enough good opportunities"
"141","To get a relevant degree to secure a relevant job"
"142","Get my degree to get into a good job. Make friends, and further myself in life."
"143","Equipped myself with new knowledge on computing"
"144","I want to be ready for the workforce in the career which I would like to pursue in.  I want to experience life of a university student locally as well as abroad."
"145","Learn"
"146","Getting my degree"
"147","Get a engineering degree. Find a job before graduation. Have fun"
"148","get excellent academic training as well as internship experience."
"149","Get a degree and all the relevant knowledge"
"150","provide a hands on experience   at least have a good relationship with mentor/professor to guide   to receive more relevant teaching materials"
"151","To obtain a respected and quality degree  To be prepared for the corporate workforce"
"152","Gain necessary knowledge that would be useful to me in the working work. Preparing myself for presentations and how to be confident in whatever i am doing."
"153","Get a degree"
"154","More industrial experience than on-the-book learning"
"155","To get a degree"
"156","Find a job"
"157","Achieve my degrre"
"158","To learn from all my brilliant coursemates and professors.    To prepare myself adequately for my career"
"159","Becoming more independent, more open to new challenges, step out of my comfort zone, be more daring and brave"
"160","Obtain a degree and obtain perspectives of the world"
"161","Get the degree, learn new thing."
"162","Get a degree"
"163","To develop my-self as a responsible and qualified person for the society, through academic and non-academic learning experiences."
"164","Grow as an independent and creative person.  Train learning skills and leadership skills"
"165","Getting a degree and knowledge in the field of studies.   Knowing related industries and relationship between field of studies with the industry"
"166","To have a more critical and transferable education into the working world.  My degree(Maritime studies) unfortunately does not meet any of that.  Not enough lecturers."
